"street","city","zip","state","beds","baths","sq__ft","type","sale_date","price","latitude","longitude"
"12209 CONSERVANCY WAY","RANCHO CORDOVA","95742","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","263500","38.553867","-121.219141"
"4236 NATOMAS CENTRAL DR","SACRAMENTO","95834","CA","3","2","1672","Condo","Wed May 21 00:00:00 EDT 2008","265000","38.648879","-121.544023"
"5615 LUPIN LN","POLLOCK PINES","95726","CA","3","2","1380","Residential","Wed May 21 00:00:00 EDT 2008","265000","38.708315","-120.603872"
"5625 JAMES WAY","SACRAMENTO","95822","CA","3","1","975","Residential","Wed May 21 00:00:00 EDT 2008","271742","38.523947","-121.484946"
"7842 LAHONTAN CT","SACRAMENTO","95829","CA","4","3","2372","Residential","Wed May 21 00:00:00 EDT 2008","273750","38.472976","-121.318633"
"6850 21ST ST","SACRAMENTO","95822","CA","3","2","1446","Residential","Wed May 21 00:00:00 EDT 2008","275086","38.502194","-121.490795"
"2900 BLAIR RD","POLLOCK PINES","95726","CA","2","2","1284","Residential","Wed May 21 00:00:00 EDT 2008","280908","38.75485","-120.60476"
"2064 EXPEDITION WAY","SACRAMENTO","95832","CA","4","3","3009","Residential","Wed May 21 00:00:00 EDT 2008","280987","38.474099","-121.490711"
"2912 NORCADE CIR","SACRAMENTO","95826","CA","8","4","3612","Multi-Family","Wed May 21 00:00:00 EDT 2008","282400","38.559505","-121.364839"
"9507 SEA CLIFF WAY","ELK GROVE","95758","CA","4","2","2056","Residential","Wed May 21 00:00:00 EDT 2008","285000","38.410992","-121.479043"
"8882 AUTUMN GOLD CT","ELK GROVE","95624","CA","4","2","1993","Residential","Wed May 21 00:00:00 EDT 2008","287417","38.4439","-121.37255"
"5322 WHITE LOTUS WAY","ELK GROVE","95757","CA","3","2","1857","Residential","Wed May 21 00:00:00 EDT 2008","291000","38.391538","-121.442596"
"1838 CASTRO WAY","SACRAMENTO","95818","CA","2","1","1126","Residential","Wed May 21 00:00:00 EDT 2008","292024","38.556098","-121.490787"
"10158 CRAWFORD WAY","SACRAMENTO","95827","CA","4","4","2213","Multi-Family","Wed May 21 00:00:00 EDT 2008","297000","38.5703","-121.315735"
"7731 MASTERS ST","ELK GROVE","95758","CA","5","3","2494","Residential","Wed May 21 00:00:00 EDT 2008","297000","38.442031","-121.410873"
"4925 PERCHERON DR","ELK GROVE","95757","CA","3","2","1843","Residential","Wed May 21 00:00:00 EDT 2008","298000","38.40154","-121.447649"
"2010 PROMONTORY POINT LN","GOLD RIVER","95670","CA","2","2","1520","Residential","Wed May 21 00:00:00 EDT 2008","299000","38.62869","-121.261669"
"4727 SAVOIE WAY","SACRAMENTO","95835","CA","5","3","2800","Residential","Wed May 21 00:00:00 EDT 2008","304037","38.658182","-121.549521"
"8664 MAGNOLIA HILL WAY","ELK GROVE","95624","CA","4","2","2309","Residential","Wed May 21 00:00:00 EDT 2008","311000","38.442352","-121.389675"
"9570 HARVEST ROSE WAY","SACRAMENTO","95827","CA","5","3","2367","Residential","Wed May 21 00:00:00 EDT 2008","315537","38.555993","-121.340352"
"4359 CREGAN CT","RANCHO CORDOVA","95742","CA","5","4","3516","Residential","Wed May 21 00:00:00 EDT 2008","320000","38.545128","-121.224922"
"5337 DUSTY ROSE WAY","RANCHO CORDOVA","95742","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","320000","38.528575","-121.2286"
"8929 SUTTERS GOLD DR","SACRAMENTO","95826","CA","4","3","1914","Residential","Wed May 21 00:00:00 EDT 2008","328360","38.550848","-121.370224"
"8025 PEERLESS AVE","ORANGEVALE","95662","CA","2","1","1690","Residential","Wed May 21 00:00:00 EDT 2008","334150","38.71147","-121.216214"
"4620 WELERA WAY","ELK GROVE","95757","CA","3","3","2725","Residential","Wed May 21 00:00:00 EDT 2008","335750","38.398609","-121.450148"
"9723 TERRAPIN CT","ELK GROVE","95757","CA","4","3","2354","Residential","Wed May 21 00:00:00 EDT 2008","335750","38.403492","-121.430224"
"2115 SMOKESTACK WAY","SACRAMENTO","95833","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","339500","38.602416","-121.542965"
"100 REBECCA WAY","FOLSOM","95630","CA","3","2","2185","Residential","Wed May 21 00:00:00 EDT 2008","344250","38.68479","-121.149199"
"9488 OAK VILLAGE WAY","ELK GROVE","95758","CA","4","2","1801","Residential","Wed May 21 00:00:00 EDT 2008","346210","38.41333","-121.404999"
"8495 DARTFORD DR","SACRAMENTO","95823","CA","3","3","1961","Residential","Wed May 21 00:00:00 EDT 2008","347029","38.448507","-121.421346"
"6708 PONTA DO SOL WAY","ELK GROVE","95757","CA","4","2","3134","Residential","Wed May 21 00:00:00 EDT 2008","347650","38.380635","-121.425538"
"4143 SEA MEADOW WAY","SACRAMENTO","95823","CA","4","3","1915","Residential","Wed May 21 00:00:00 EDT 2008","351300","38.46534","-121.457519"
"3020 RICHARDSON CIR","EL DORADO HILLS","95762","CA","3","2","0","Residential","Wed May 21 00:00:00 EDT 2008","352000","38.691299","-121.081752"
"8082 LINDA ISLE LN","SACRAMENTO","95831","CA","0","0","0","Residential","Wed May 21 00:00:00 EDT 2008","370000","38.4772","-121.5215"
"15300 MURIETA SOUTH PKWY","RANCHO MURIETA","95683","CA","4","3","2734","Residential","Wed May 21 00:00:00 EDT 2008","370500","38.4874","-121.075129"
"11215 SHARRMONT CT","WILTON","95693","CA","3","2","2110","Residential","Wed May 21 00:00:00 EDT 2008","372000","38.35062","-121.228349"
"7105 DANBERG WAY","ELK GROVE","95757","CA","5","3","3164","Residential","Wed May 21 00:00:00 EDT 2008","375000","38.4019","-121.420388"
"5579 JERRY LITELL WAY","SACRAMENTO","95835","CA","5","3","3599","Residential","Wed May 21 00:00:00 EDT 2008","381300","38.677126","-121.500519"
"1050 FOXHALL WAY","SACRAMENTO","95831","CA","4","2","2054","Residential","Wed May 21 00:00:00 EDT 2008","381942","38.509819","-121.519661"
"7837 ABBINGTON WAY","ANTELOPE","95843","CA","4","2","1830","Residential","Wed May 21 00:00:00 EDT 2008","387731","38.709873","-121.339472"
"1300 F ST","SACRAMENTO","95814","CA","3","3","1627","Residential","Wed May 21 00:00:00 EDT 2008","391000","38.58355","-121.487289"
"6801 RAWLEY WAY","ELK GROVE","95757","CA","4","3","3440","Residential","Wed May 21 00:00:00 EDT 2008","394470","38.408351","-121.423925"
